                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2163,                 3.9665,                 3.7665,                0.68832,                0.01974,                 0.0061,                 0.0015,                 3.8843,                 3.9322,                 3.1996,               0.070132,              0.0033187,              0.0033187
                      1,                 3.1302,                 2.4901,                 2.7447,                0.41303,                0.15087,                0.13034,                0.04701,                  2.487,                 1.9671,                  2.241,               0.040066,              0.0065862,              0.0065862
                      2,                 2.2165,                 1.8272,                 1.9829,                0.41418,                 0.2908,                 0.2662,                0.12198,                 1.8587,                 1.5685,                 1.6723,              0.0099339,              0.0097877,              0.0097877
                      3,                 1.7927,                 1.5325,                 1.5703,                 0.5567,                0.33896,                0.31761,                0.16804,                 1.6841,                 1.4685,                 1.4552,               0.009703,               0.009703,               0.009703
                      4,                 1.5425,                 1.3442,                 1.3538,                0.65786,                 0.4855,                0.52713,                0.30482,                 1.3834,                 1.1508,                 1.2378,               0.009703,               0.009703,               0.009703
                      5,                 1.3926,                 1.2183,                 1.2356,                0.68133,                0.43878,                0.49666,                0.30194,                 1.3041,                 1.1637,                 1.1825,               0.009604,               0.009604,               0.009604
                      6,                 1.2842,                 1.1365,                 1.1668,                0.56201,                0.50422,                0.51181,                0.33107,                 1.2336,                 1.0956,                 1.1436,               0.009505,               0.009505,               0.009505
                      7,                 1.2082,                 1.0715,                 1.1151,                0.61909,                0.63196,                 0.6642,                0.45854,                 1.0928,                0.96084,                 1.0464,               0.009406,               0.009406,               0.009406
                      8,                 1.1482,                 1.0189,                 1.0834,                0.78919,                0.69547,                0.76848,                 0.5568,                0.98592,                0.85608,                0.99977,               0.009307,               0.009307,               0.009307
                      9,                 1.0902,                 0.9639,                 1.0517,                0.72314,                 0.7425,                0.79373,                0.59116,                0.93996,                0.80272,                0.97489,               0.009208,               0.009208,               0.009208
                     10,                 1.0579,                0.92905,                 1.0304,                0.80029,                0.77397,                0.82774,                0.62726,                0.90953,                0.77791,                0.97267,               0.009109,               0.009109,               0.009109
                     11,                 1.0208,                 0.9026,                 1.0169,                0.78686,                0.76581,                0.81987,                0.63377,                0.90408,                0.77948,                0.96397,                0.00901,                0.00901,                0.00901
                     12,                0.99244,                0.87535,                 1.0033,                0.78827,                0.78426,                0.83806,                0.65109,                0.85495,                0.73953,                0.94407,               0.008911,               0.008911,               0.008911
                     13,                0.96527,                0.84479,                0.99142,                0.75067,                0.79358,                0.84926,                0.66649,                0.82582,                0.71755,                0.92051,               0.008812,               0.008812,               0.008812
                     14,                0.93865,                0.82868,                 0.9803,                0.78059,                0.80565,                0.85699,                0.66809,                0.83904,                0.70821,                0.93165,               0.008713,               0.008713,               0.008713
                     15,                0.91769,                0.80303,                0.97724,                0.83672,                0.79494,                0.84776,                0.68539,                0.76289,                 0.6728,                0.91695,               0.008614,               0.008614,               0.008614
                     16,                 0.9055,                0.79182,                0.96904,                0.80946,                0.79695,                0.85551,                0.68599,                0.77006,                0.67413,                 0.9132,               0.008515,               0.008515,               0.008515
                     17,                0.88193,                0.77037,                0.96092,                0.83163,                0.78286,                0.86297,                 0.6976,                 0.7568,                0.65396,                0.90019,               0.008416,               0.008416,               0.008416
                     18,                0.86245,                0.75716,                0.95776,                 0.8259,                0.77968,                0.84017,                0.67686,                 0.7788,                0.65927,                0.90931,               0.008317,               0.008317,               0.008317
                     19,                0.84836,                0.74209,                0.95015,                0.82699,                0.82078,                0.88339,                0.71822,                0.76411,                0.63695,                0.90565,               0.008218,               0.008218,               0.008218
                     20,                0.83324,                0.72395,                0.94533,                0.86429,                0.79607,                0.87467,                  0.724,                0.71261,                 0.6171,                0.89107,               0.008119,               0.008119,               0.008119
                     21,                0.82566,                0.71862,                0.94072,                0.80923,                0.82043,                0.85513,                0.69435,                0.75325,                0.63753,                0.89749,                0.00802,                0.00802,                0.00802
                     22,                0.81204,                0.70349,                0.93406,                  0.859,                0.82377,                0.87752,                0.73967,                 0.6785,                0.59682,                0.88278,               0.007921,               0.007921,               0.007921
                     23,                0.79987,                0.69425,                0.93243,                0.85499,                0.83375,                0.88984,                0.74418,                0.69574,                0.58769,                0.87783,               0.007822,               0.007822,               0.007822
                     24,                0.79368,                0.69187,                0.93062,                0.87371,                0.82155,                0.88988,                0.74709,                0.67841,                0.58818,                0.88453,               0.007723,               0.007723,               0.007723
                     25,                0.77246,                0.67449,                0.92358,                0.80858,                0.84194,                0.89114,                0.75237,                0.65949,                0.57242,                0.87118,               0.007624,               0.007624,               0.007624
                     26,                0.76649,                0.66759,                0.92069,                0.80741,                0.80681,                0.86766,                0.70247,                0.71658,                 0.6046,                0.88248,               0.007525,               0.007525,               0.007525
                     27,                0.76156,                 0.6622,                0.92138,                0.80678,                0.83191,                 0.8763,                 0.7345,                0.68294,                0.57769,                0.88553,               0.007426,               0.007426,               0.007426
                     28,                0.75363,                0.65559,                 0.9177,                0.84524,                0.85974,                0.90023,                0.76289,                0.66094,                0.55631,                0.86852,               0.007327,               0.007327,               0.007327
                     29,                0.74907,                0.64615,                0.91352,                0.85818,                0.85836,                0.91029,                0.77058,                0.63457,                0.54326,                0.87206,               0.007228,               0.007228,               0.007228
                     30,                0.73935,                0.64109,                0.91426,                0.83905,                0.85812,                0.90604,                0.77744,                0.63449,                0.54493,                0.86368,               0.007129,               0.007129,               0.007129
                     31,                0.73324,                0.63259,                0.91063,                0.87196,                0.84102,                0.91256,                0.77623,                0.62759,                0.53817,                0.86262,                0.00703,                0.00703,                0.00703
